foto,descricao,estrelas,avaliacoes,valor
https://m.media-amazon.com/images/I/41r7C8Vw+aL._AC_UL320_.jpg,"Galaxy Book4 Pro Intel® Core™ Ultra 7 155H, Windows 11 Home, 16GB, 512GB SSD, 14'' Full HD AMOLED, Touchscreen, 1.23 kg","5,0 de 5 estrelas ",3  ,"6.374
,"
https://m.media-amazon.com/images/I/613PZt698DL._AC_UL320_.jpg,Notebook Acer ANV15-51-50KD i5 8 512 RTX 2050 Linux,"4,1 de 5 estrelas ",28  ,"3.829
,"
https://m.media-amazon.com/images/I/51QY3y8PY2L._AC_UL320_.jpg,Notebook Vaio FE15 15.6 FHD i3-1115G4 8GB SSD 256GB Linux Debian 10 Cinza - VJFE55F11X-B0121H,"4,2 de 5 estrelas ",11  ,"2.199
,"
https://m.media-amazon.com/images/I/51qYgtqNzYL._AC_UL320_.jpg,"Notebook Lenovo Ultrafino IdeaPad 1 i3-1215U 8GB 256GB SSD Windows Home 15.6"" 82VY000SBR Cloud Grey","4,6 de 5 estrelas ",80  ,"2.547
,"
https://m.media-amazon.com/images/I/61yvzxtefZL._AC_UL320_.jpg,"Notebook Intel Celeron 4GB DDR4 SSD 128GB Tela 14.1"" Full HD Windows 11 Professional Prata HQ Joy NHJ-W11H-CE1","3,9 de 5 estrelas ",49  ,"1.497
,"
https://m.media-amazon.com/images/I/51gEkEbXrHL._AC_UL320_.jpg,"Notebook Acer Aspire 5 A515-57-55B8 Intel Core i5 12º Geração 8GB RAM 256GB SSD (UHD) 15.6"" LED Full HD TN 60hz Cinza aço Windows 11H","4,8 de 5 estrelas ",618  ,"2.751
,"
https://m.media-amazon.com/images/I/51f+8DD2VbL._AC_UL320_.jpg,Notebook Acer Aspire5 A515-45-R36L AMD Ryzen7 5700U 12GB RAM (AMD Radeon) 512GB SSD 15.6” LED IPS Full HD Prata Teclado numérico Independente Linux Gutta,"4,7 de 5 estrelas ",384  ,"2.834
,"
https://m.media-amazon.com/images/I/71TK+vh6JIL._AC_UL320_.jpg,"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 256GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ731","4,5 de 5 estrelas ",59  ,"2.391
,"
https://m.media-amazon.com/images/I/71TK+vh6JIL._AC_UL320_.jpg,"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, KeepOS, Tela 15,6"" FHD, Mixed Black - E1504FA-NJ732","4,4 de 5 estrelas ",25  ,"2.416
,"
https://m.media-amazon.com/images/I/71bqk4b3SBL._AC_UL320_.jpg,"Notebook Positivo Vision C15 Lumina Bar Celeron 4GB 128GB eMMC, Windows 11 Home, Tela 15"" HD Antirreflexo, Tecla Link - Cinza -2 ANOS DE GARANTIA","4,5 de 5 estrelas ",447  ,"1.349
,"
https://m.media-amazon.com/images/I/51Ri6f37FRL._AC_UL320_.jpg,"Notebook Lenovo Ideapad 1i i5-1235U 8GB 512GB SSD 15.6"" W11","4,8 de 5 estrelas ",727  ,"2.815
,"
https://m.media-amazon.com/images/I/51VxwPPv38L._AC_UL320_.jpg,"Notebook ASUS VivoBook Go, 15 AMD RYZEN 5 7520U, 8 GB, 256 GB SSD, W11 Home Tela 15,6"" FHD, Mixed Black - E1504FA-NJ825W","5,0 de 5 estrelas ",4  ,"2.899
,"
https://m.media-amazon.com/images/I/71UOx5ZIoAL._AC_UL320_.jpg,"Notebook ASUS X515MA, Celeron Dual Core, SSD 128GB, 4GB, WIN 11 Home, 15,60"" Led-Backlit Anti-Glare, Slate Gray - X515MA-BR933WS","4,7 de 5 estrelas ",423  ,"1.875
,"
https://m.media-amazon.com/images/I/51lGW2nP9qL._AC_UL320_.jpg,Notebook Samsung Galaxy Book4 i3 8GB 256 W11H NP750XGJ-KG5BR,"4,8 de 5 estrelas ",60  ,"2.849
,"
https://m.media-amazon.com/images/I/81IVG4BF9vL._AC_UL320_.jpg,"Notebook HP Intel Core i3-1215U 8GB 256GB SSD 15,6” - Windows 11","4,7 de 5 estrelas ",199  ,"2.339
,"
https://m.media-amazon.com/images/I/51lGW2nP9qL._AC_UL320_.jpg,Notebook Samsung Galaxy Book4 i5 8GB 512GB W11H NP750XGJ-KG3BR,"4,6 de 5 estrelas ",65  ,"3.149
,"
https://m.media-amazon.com/images/I/51Q72hF0G2L._AC_UL320_.jpg,"Notebook ASUS E510MA, Intel Celeron Dual Core, 4GB, 128GB EMMC, Windows 11 Home, Tela de 15,6"", Black - E510MA-BR1347WS","4,6 de 5 estrelas ",79  ,"1.755
,"
https://m.media-amazon.com/images/I/51spu3DafYL._AC_UL320_.jpg,"Notebook ASUS E510MA, Celeron Dual Core, EMMC 128GB, 4GB, Win 11 Home, 15,60"", Rose Pink - E510MA-BR1348WS","4,6 de 5 estrelas ",66  ,"1.738
,"
https://m.media-amazon.com/images/I/51WLQOhXRoL._AC_UL320_.jpg,"Notebook Samsung Galaxy Book Go, Windows 11 Home, 4GB, 128GB UFS, 14'' Full HD LED, 1.38kg","4,6 de 5 estrelas ",583  ,"1.979
,"
https://m.media-amazon.com/images/I/51SFlVhq0aL._AC_UL320_.jpg,"Galaxy Book2 Intel® Core™ i7-1255U, Windows 11 Home, 8GB, 256GB SSD, 15.6'' Full HD LED, 1.81kg*.","4,3 de 5 estrelas ",40  ,"3.499
,"
https://m.media-amazon.com/images/I/71zxWLbeYYL._AC_UL320_.jpg,"Notebook Gamer ASUS TUF Gaming F15, Core I7, 16 GB, 512 GB, Nvídia RTX3050, Windows 11 Home, Mecha Gray - FX507ZC4-HN113W",2 capacidades2 capacidades,"4,7 de 5 estrelas ","6.966
,"
https://m.media-amazon.com/images/I/51spu3DafYL._AC_UL320_.jpg,"Notebook ASUS E510MA, Celeron Dual Core, EMMC 128GB, 4GB, Win 11 Home, 15,60"", Rose Pink - E510MA-BR1348WS","4,6 de 5 estrelas ",66  ,"1.738
,"
https://m.media-amazon.com/images/I/71iESqOEpeL._AC_UL320_.jpg,"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6"" FHD Cool Silver - E1504GA-NJ440W","4,7 de 5 estrelas ",43  ,"2.203
,"
https://m.media-amazon.com/images/I/51W414vbjzL._AC_UL320_.jpg,Mesa Portátil Notebook Grafite MDF Dobrável Estudar Trabalhar,"4,6 de 5 estrelas ",9  ,"99
,"
https://m.media-amazon.com/images/I/51oKxXNh+XL._AC_UL320_.jpg,"Notebook Ultra, com Windows 11 Home, Tela 15,6 Pol, Processador Celeron N4020C, Memória 4GB 128GB eMMC Cinza - UB261","4,1 de 5 estrelas ",8  ,"1.398
,"
https://m.media-amazon.com/images/I/61E5hcB0lIL._AC_UL320_.jpg,"Notebook Gamer Lenovo LOQ Intel Core i5-12450H 16GB 512GB SSD RTX 2050 15.6"" FHD W11 83EU0001BR","4,6 de 5 estrelas ",46  ,"4.568
,"
https://m.media-amazon.com/images/I/51lGW2nP9qL._AC_UL320_.jpg,Notebook Samsung Galaxy Book4 i5 8GB 256GB W11H NP750XGJ-KG4BR,"4,8 de 5 estrelas ",79  ,"3.224
,"
